Rank,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
16734,Honeycomb Beat,DS,2007,Puzzle,Konami  ,Hudson Soft  ,,,0.05,0.0,,0.0,0.06
16735,Brave: A Warrior's Tale,Wii,2009,Action,SouthPeak Interactive  ,Collision Studios  ,4.7,,0.05,0.0,,0.0,0.06
16736,Crazy Chicken: Pharaoh's Treasure,DS,2009,Puzzle,Mumbo Jumbo  ,Phenomedia  ,,,0.05,,,0.0,0.06
16737,Syphon Filter: Logan's Shadow,PS2,2010,Shooter,Sony Computer Entertainment  ,SCEA Bend Studio  ,,,0.03,0.02,,0.01,0.06
16738,NTRA Breeders' Cup World Thoroughbred Championships,XB,2005,Simulation,Bethesda Softworks  ,4J Studios  ,,,0.04,0.01,,0.0,0.06
16739,Daito Giken Koushiki Pachi-Slot Simulator: Shin Yoshimune,PS2,2008,Misc,Paon   ,Paon Corporation  ,,,,,0.06,,0.06
16740,Impossible Mission,PSP,2007,Platform,System 3 Arcade Software  ,System 3 Software  ,,,,0.04,,0.01,0.06
16741,Tanjou S Debut,SAT,1996,Simulation,NEC Interchannel   ,NEC Interchannel  ,,,,,0.06,,0.06
16742,Nendoroid Generation,PSP,2012,Role-Playing,Namco Bandai Games  ,Namco Bandai Games  ,,,,,0.06,,0.06
16743,Rooms: The Main Building,Wii,2010,Adventure,Hudson Soft  ,Hudson Soft  ,7.0,,0.05,,,0.0,0.06
16744,Pop'n TwinBee: Rainbow Bell Adventure,SNES,1994,Platform,Konami  ,Konami  ,,,,,0.06,0.0,0.06
16745,Jumble Madness,DS,2009,Puzzle,Destineer  ,Anino Entertainment  ,,,0.06,,,0.0,0.06
16746,Portal Knights,NS,2018,Role-Playing,505 Games  ,Keen Games  ,,,0.02,0.02,0.01,0.0,0.06
16747,Broken Helix,PS,1997,Action,Konami  ,Konami  ,,,0.03,0.02,,0.0,0.06
16748,Katekyoo Hitman Reborn! DS Fate of Heat III - Yuki no Shugosha Raishuu!,DS,2010,Role-Playing,Marvelous Interactive  ,Marvelous Interactive  ,,,,,0.06,,0.06
16749,Cardfight!! Vanguard G: Stride to Victory!!,3DS,2016,Strategy,FuRyu Corporation  ,FuRyu  ,,,,,0.06,,0.06
16750,Myst III: Exile,XB,2002,Adventure,Ubisoft  ,Presto Studios  ,,,0.04,0.01,,0.0,0.06
16751,Top Gun: Hard Lock,X360,2012,Action,505 Games  ,Headstrong Games  ,,,0.03,0.02,,0.0,0.06
16752,Brain Quest: Grades 3 & 4,DS,2008,Misc,Electronic Arts  ,Planet Moon Studios  ,,,0.05,,,0.0,0.06
16753,Hajime no Ippo Portable: Victorious Spirits,PSP,2007,Fighting,Grand Prix Games  ,ESP Software  ,,,,,0.06,,0.06
16754,Rapala Fishing Pro Series,XOne,2017,Simulation,GameMill  ,"Concrete Software, Inc.  ",,,0.05,,,0.01,0.06
16755,Zoo Tycoon: Complete Collection,PC,2003,Strategy,Microsoft Game Studios  ,Blue Fang Games  ,,6.0,0.03,0.02,,0.01,0.06
16756,CMT Presents: Karaoke Revolution Country,PS2,2006,Misc,Konami  ,Harmonix Music Systems  ,,,0.03,0.02,,0.01,0.06
16757,Katekyoo Hitman Reborn! DS: Flame Rumble Mukuro Kyoushuu,DS,2007,Fighting,Takara Tomy   ,Takara Tomy  ,,,,,0.06,,0.06
16758,Men of War: Assault Squad,PC,2011,Strategy,1C Company  ,Digitalmindsoft  ,8.0,,0.01,0.04,,0.01,0.06
16759,Winx Club: Quest for the Codex,DS,2006,Action,Konami  ,Powerhead Games  ,,,0.03,0.02,,0.0,0.06
16760,Jacqueline Wilson's Tracy Beaker: The Game,DS,2009,Misc,P2 Games  ,P2 Games  ,,,,0.05,,0.0,0.06
16761,Cid to Chocobo no Fushigi na Dungeon: Toki Wasure no Meikyuu DS+,DS,2008,Role-Playing,Square Enix  ,High Horse Entertainment  ,,,,,0.06,,0.06
16762,Fatal Frame,XB,2002,Action,Tecmo  ,Tecmo  ,7.9,,0.04,0.01,,0.0,0.06
16763,Vitamin X to Z,PSP,2011,Adventure,D3 Publisher  ,HuneX  ,,,,,0.06,,0.06
16764,Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,2006,Shooter,Ubisoft  ,Ubisoft Shanghai  ,,,0.03,0.02,,0.01,0.06
16765,Urban Chaos: Riot Response,PS2,2006,Shooter,Eidos Interactive  ,Rocksteady Studios  ,,,0.03,0.02,,0.01,0.06
16766,Teenage Mutant Ninja Turtles II: Back from the Sewers,GB,1991,Action,Konami  ,Konami  ,,,,,0.06,,0.06
16767,Flip's Twisted World,Wii,2010,Platform,Majesco  ,Frozen North Productions  ,,,0.05,,,0.0,0.06
16768,X-Men: Destiny,DS,2011,Action,Activision  ,Other Ocean Interactive  ,2.0,,0.05,0.01,,0.0,0.06
16769,Challenge Me: Brain Puzzles 2,Wii,2010,Puzzle,O-Games  ,O Games  ,,,0.0,0.05,,0.0,0.06
16770,Resident Evil 2,GC,2003,Action,Capcom  ,Capcom  ,5.9,,0.04,0.01,,0.0,0.06
16771,Sacred 2: Fallen Angel,PC,2008,Role-Playing,CDV Software Entertainment  ,Ascaron Entertainment  ,,,,0.05,,0.01,0.06
16772,Arslan: The Warriors of Legend,XOne,2016,Action,Tecmo Koei  ,Koei Tecmo Games  ,,,0.05,0.0,,0.01,0.06
